sample,x_input,y_output
        501, -7361, -6096
        502, -8191, -7082
        503, -8994, -7570
        504, -9768, -8536
        505,-10509, -9486
        506,-11215, -9955
        507,-11884,-10419
        508,-12513,-11334
        509,-13101,-11784
        510,-13646,-12229
        511,-14145,-12669
        512,-14597,-13103
        513,-15001,-13532
        514,-15355,-13956
        515,-15659,-13956
        516,-15910,-14374
        517,-16109,-14786
        518,-16254,-14786
        519,-16345,-14786
        520,-16382,-14786
        521,-16365,-14786
        522,-16293,-14786
        523,-16168,-14786
        524,-15988,-14786
        525,-15756,-14786
        526,-15472,-14374
        527,-15136,-14374
        528,-14750,-13956
        529,-14315,-13532
        530,-13833,-13103
        531,-13304,-13103
        532,-12732,-12229
        533,-12117,-11784
        534,-11462,-11334
        535,-10770,-10879
        536,-10041,-10419
        537, -9279, -9486
        538, -8487, -9013
        539, -7666, -8055
        540, -6820, -7082
        541, -5951, -6590
        542, -5062, -5598
        543, -4157, -4595
        544, -3238, -4090
        545, -2308, -3074
        546, -1370, -2053
        547,  -428, -1027
        548,   514,     0
        549,  1456,   513
        550,  2393,  1027
        551,  3322,  2053
        552,  4240,  3074
        553,  5144,  4090
        554,  6031,  5098
        555,  6898,  5598
        556,  7742,  6590
        557,  8560,  7570
        558,  9350,  8055
        559, 10109,  9013
        560, 10834,  9486
        561, 11524, 10419
        562, 12175, 10879
        563, 12786, 11334
        564, 13354, 11784
        565, 13878, 12669
        566, 14356, 13103
        567, 14787, 13532
        568, 15169, 13532
        569, 15500, 13956
        570, 15779, 14374
        571, 16007, 14374
        572, 16181, 14786
        573, 16302, 14786
        574, 16369, 14786
        575, 16381, 14786
        576, 16339, 14786
        577, 16243, 14786
        578, 16093, 14786
        579, 15889, 14786
        580, 15633, 14786
        581, 15325, 14374
        582, 14967, 13956
        583, 14558, 13956
        584, 14101, 13532
        585, 13598, 13103
        586, 13049, 12669
        587, 12458, 12229
        588, 11824, 11784
        589, 11152, 11334
        590, 10443, 10419
        591,  9699,  9955
        592,  8923,  9013
        593,  8117,  8536
        594,  7284,  7570
        595,  6427,  7082
        596,  5549,  6096
        597,  4653,  5098
        598,  3741,  4595
        599,  2816,  3583
        600,  1883,  2564
        601,   943,  1540
        602,     0,   513
        603,  -943,     0
        604, -1883,  -513
        605, -2816, -1540
        606, -3741, -2564
        607, -4653, -3583
        608, -5549, -4595
        609, -6427, -5098
        610, -7284, -6096
        611, -8117, -7082
        612, -8923, -7570
        613, -9699, -8536
        614,-10443, -9013
        615,-11152, -9955
        616,-11824,-10419
        617,-12458,-11334
        618,-13049,-11784
        619,-13598,-12229
        620,-14101,-12669
        621,-14558,-13103
        622,-14967,-13532
        623,-15325,-13956
        624,-15633,-13956
        625,-15889,-14374
        626,-16093,-14786
        627,-16243,-14786
        628,-16339,-14786
        629,-16381,-14786
        630,-16369,-14786
        631,-16302,-14786
        632,-16181,-14786
        633,-16007,-14786
        634,-15779,-14786
        635,-15500,-14374
        636,-15169,-14374
        637,-14787,-13956
        638,-14356,-13532
        639,-13878,-13532
        640,-13354,-13103
        641,-12786,-12669
        642,-12175,-11784
        643,-11524,-11334
        644,-10834,-10879
        645,-10109,-10419
        646, -9350, -9486
        647, -8560, -9013
        648, -7742, -8055
        649, -6898, -7570
        650, -6031, -6590
        651, -5144, -5598
        652, -4240, -5098
        653, -3322, -4090
        654, -2393, -3074
        655, -1456, -2053
        656,  -514, -1027
        657,   428,  -513
        658,  1370,     0
        659,  2308,  1027
        660,  3238,  2053
        661,  4157,  3074
        662,  5062,  4090
        663,  5951,  4595
        664,  6820,  5598
        665,  7666,  6590
        666,  8487,  7082
        667,  9279,  8055
        668, 10041,  9013
        669, 10770,  9486
        670, 11462, 10419
        671, 12117, 10879
        672, 12732, 11334
        673, 13304, 11784
        674, 13833, 12229
        675, 14315, 13103
        676, 14750, 13103
        677, 15136, 13532
        678, 15472, 13956
        679, 15756, 14374
        680, 15988, 14374
        681, 16168, 14786
        682, 16293, 14786
        683, 16365, 14786
        684, 16382, 14786
        685, 16345, 14786
        686, 16254, 14786
        687, 16109, 14786
        688, 15910, 14786
        689, 15659, 14786
        690, 15355, 14374
        691, 15001, 13956
        692, 14597, 13956
        693, 14145, 13532
        694, 13646, 13103
        695, 13101, 12669
        696, 12513, 12229
        697, 11884, 11784
        698, 11215, 11334
        699, 10509, 10419
        700,  9768,  9955
        701,  8994,  9486
        702,  8191,  8536
        703,  7361,  7570
        704,  6506,  7082
        705,  5630,  6096
        706,  4735,  5098
        707,  3824,  4595
        708,  2901,  3583
        709,  1968,  2564
        710,  1028,  1540
        711,    85,  1027
        712,  -857,     0
        713, -1797,  -513
        714, -2732, -1540
        715, -3657, -2564
        716, -4570, -3583
        717, -5468, -4090
        718, -6348, -5098
        719, -7207, -6096
        720, -8042, -7082
        721, -8851, -7570
        722, -9629, -8536
        723,-10376, -9013
        724,-11089, -9955
        725,-11765,-10419
        726,-12402,-10879
        727,-12997,-11784
        728,-13550,-12229
        729,-14058,-12669
        730,-14519,-13103
        731,-14931,-13532
        732,-15295,-13956
        733,-15607,-13956
        734,-15868,-14374
        735,-16077,-14374
        736,-16231,-14786
        737,-16332,-14786
        738,-16379,-14786
        739,-16372,-14786
        740,-16310,-14786
        741,-16194,-14786
        742,-16025,-14786
        743,-15802,-14786
        744,-15527,-14374
        745,-15201,-14374
        746,-14824,-13956
        747,-14398,-13532
        748,-13924,-13532
        749,-13404,-13103
        750,-12839,-12669
        751,-12232,-12229
        752,-11584,-11334
        753,-10898,-10879
        754,-10176,-10419
        755, -9420, -9486
        756, -8633, -9013
        757, -7817, -8055
        758, -6975, -7570
        759, -6110, -6590
        760, -5225, -5598
        761, -4323, -5098
        762, -3406, -4090
        763, -2478, -3074
        764, -1541, -2053
        765,  -600, -1540
        766,   343,  -513
        767,  1285,     0
        768,  2223,  1027
        769,  3154,  2053
        770,  4074,  3074
        771,  4981,  3583
        772,  5871,  4595
        773,  6742,  5598
        774,  7590,  6590
        775,  8413,  7082
        776,  9208,  8055
        777,  9973,  8536
        778, 10705,  9486
        779, 11401,  9955
        780, 12059, 10879
        781, 12678, 11334
        782, 13254, 11784
        783, 13786, 12229
        784, 14273, 12669
        785, 14712, 13103
        786, 15103, 13532
        787, 15443, 13956
        788, 15732, 14374
        789, 15970, 14374
        790, 16154, 14786
        791, 16284, 14786
        792, 16361, 14786
        793, 16383, 14786
        794, 16351, 14786
        795, 16264, 14786
        796, 16124, 14786
        797, 15930, 14786
        798, 15684, 14786
        799, 15385, 14374
        800, 15036, 14374
        801, 14636, 13956
        802, 14188, 13532
        803, 13693, 13103
        804, 13152, 12669
        805, 12568, 12229
        806, 11943, 11784
        807, 11277, 11334
        808, 10574, 10879
        809,  9836,  9955
        810,  9066,  9486
        811,  8265,  8536
        812,  7437,  8055
        813,  6585,  7082
        814,  5710,  6096
        815,  4817,  5598
        816,  3908,  4595
        817,  2985,  3583
        818,  2053,  2564
        819,  1114,  2053
        820,   171,  1027
        821,  -771,     0
