sample,x_in,y_out,mode
2441, 28041, 28118,1
2442, 27107, 27695,1
2443, 26084, 27237,1
2444, 24973, 26741,1
2445, 23780, 26019,1
2446, 22508, 25220,1
2447, 21161, 24341,1
2448, 19745, 23376,1
2449, 18262, 22321,1
2450, 16719, 20869,1
2451, 15121, 19598,1
2452, 13473, 17870,1
2453, 11779, 15987,1
2454, 10047, 13956,1
2455,  8282, 11784,1
2456,  6489,  9486,1
2457,  4674,  6590,1
2458,  2844,  4090,1
2459,  1005,  1027,1
2460,  -837, -1027,1
2461, -2677, -3583,1
2462, -4508, -6590,1
2463, -6325, -9013,1
2464, -8120,-11334,1
2465, -9888,-13532,1
2466,-11624,-15987,1
2467,-13320,-17870,1
2468,-14973,-19264,1
2469,-16576,-20869,1
2470,-18124,-22321,1
2471,-19613,-23376,1
2472,-21036,-24341,1
2473,-22389,-25220,1
2474,-23668,-26019,1
2475,-24868,-26568,1
2476,-25986,-27237,1
2477,-27018,-27695,1
2478,-27960,-27981,1
2479,-28810,-28382,1
2480,-29564,-28632,1
2481,-30220,-28869,1
2482,-30775,-29092,1
2483,-31229,-29200,1
2484,-31579,-29304,1
2485,-31824,-29405,1
2486,-31964,-29405,1
2487,-31998,-29405,1
2488,-31925,-29405,1
2489,-31747,-29405,1
2490,-31464,-29304,1
2491,-31076,-29200,1
2492,-30585,-28982,1
2493,-29993,-28752,1
2494,-29301,-28509,1
2495,-28512,-28252,1
2496,-27628,-27840,1
2497,-26653,-27546,1
2498,-25589,-26911,1
2499,-24441,-26389,1
2500,-23211,-25827,1
2501,-21905,-25008,1
2502,-20526,-24108,1
2503,-19079,-22860,1
2504,-17568,-21758,1
2505,-16000,-20246,1
2506,-14378,-18925,1
2507,-12708,-17135,1
2508,-10997,-15192,1
2509, -9249,-13103,1
2510, -7470,-10419,1
2511, -5666, -8055,1
2512, -3844, -5598,1
2513, -2009, -2564,1
2514,  -167,     0,1
2515,  1674,  2053,1
2516,  3511,  5098,1
2517,  5336,  7570,1
2518,  7143,  9955,1
2519,  8927, 12669,1
2520, 10681, 14786,1
2521, 12400, 16759,1
2522, 14078, 18579,1
2523, 15708, 20246,1
2524, 17287, 21468,1
2525, 18809, 22860,1
2526, 20268, 23870,1
2527, 21660, 24791,1
2528, 22980, 25629,1
2529, 24223, 26206,1
2530, 25387, 26911,1
2531, 26466, 27394,1
2532, 27458, 27840,1
2533, 28358, 28252,1
2534, 29164, 28509,1
2535, 29874, 28752,1
2536, 30485, 28982,1
2537, 30994, 29092,1
2538, 31401, 29200,1
2539, 31703, 29304,1
2540, 31901, 29405,1
2541, 31992, 29405,1
2542, 31978, 29405,1
2543, 31857, 29405,1
2544, 31631, 29304,1
2545, 31300, 29200,1
2546, 30865, 29092,1
2547, 30328, 28869,1
2548, 29690, 28632,1
2549, 28954, 28382,1
2550, 28122, 28118,1
2551, 27196, 27695,1
2552, 26180, 27237,1
2553, 25078, 26741,1
2554, 23892, 26019,1
2555, 22627, 25427,1
2556, 21287, 24569,1
2557, 19876, 23626,1
2558, 18400, 22321,1
2559, 16862, 21171,1
2560, 15269, 19598,1
